row_id,name,current_status,field,current_value,recommended_value,finding,confidence,official_evidence_url,independent_evidence_url,notes,recommended_action
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,summary,AI-driven scheduling and dispatch platform for deskless workforce management.,"Skedulo is a deskless workforce management platform offering a Deskless Productivity Cloud that enhances scheduling, management, engagement, and communication for deskless workers across industries including healthcare, nonprofit, residential services, and telecommunications.",public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,city,Brisbane,San Francisco,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,country,AU,US,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,founders,,"Marcel Thomas, Marcelo Bressan, Monika Bartoszek-Jaissanbayev, Paul Mansfield, Talgat Jaissanbayev, Yan Osorio, Matthew Fairhurst",public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,total_raised_usd,,75000000,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,total_raised_currency_raw,,USD 75M (Series C),public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,total_raised_as_of,,2021-07-07,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,total_raised_source_url,,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,headcount_estimate,,185,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,headcount_as_of,,2026-03-31,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
ee67251c-a087-4ee9-a703-6e6c7abc2134,Skedulo,verified,headcount_source_url,,https://tracxn.com/d/companies/skedulo/__DP6NqBCUzJS3y7NxwU3OlK7pQNO3ulefDtaMSZEanUA,public evidence suggests updating this field,1.00,https://www.skedulo.com,https://www.preqin.com/data/profile/asset/skedulo-holdings--inc-/215570,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,summary,"Autonomous animated digital humans powered by generative AI, deployed for customer experience and education applications.","Soul Machines is a pioneer in Experiential AI, empowering human-like Digital Workers to accelerate business efficiencies, personal learning and engagement - deploying truly human-like AI Agents into high-ROI roles with intelligent orchestration across the AI stack.",public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,founders,,"Mark Sagar, Greg Cross",public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,total_raised_usd,,225000000,public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,total_raised_currency_raw,,~$225M (venture capital),public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,total_raised_as_of,,2025-02-05,public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,total_raised_source_url,,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,headcount_estimate,,47,public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,headcount_as_of,,2026-03-31,public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
328185f9-be5f-4d01-b43d-9dd989deb255,Soul Machines,verified,headcount_source_url,,https://tracxn.com/d/companies/soulmachines/__aSGtZ7LnWNwOOwbM6pwVOQLgQcbDNv58_T6Dk_i6ywk,public evidence suggests updating this field,1.00,https://www.soulmachines.com/about-soul-machines,https://www.nzherald.co.nz/business/ai-casualty-nz-founded-soul-machines-found-to-owe-at-least-196m/premium/DOQNL4WXIZFV5DJ24BPNQGXF3E,Review before applying to live Supabase.,update_field
acc3b7b3-ef89-4679-b2d5-9eddf1b465a9,Sourcegraph (origins),verified,summary,Code-search and code-AI platform (Cody coding assistant). Founding team has Sydney roots; v0 included for completeness pending review.,"Sourcegraph is a code intelligence platform that gives humans and agents complete context to understand, oversee, and evolve large and complex codebases.",public evidence suggests updating this field,1.00,https://sourcegraph.com,,Review before applying to live Supabase.,update_field
dc7e840a-b6b8-426f-a00e-57ef5fda3eeb,SourseAI,verified,summary,"AI for telco growth and retention. Predictive next-best-action across churn, upsell, and acquisition.","SourseAI is an AI and machine learning company focused on content recommendations and predictive analytics, serving clients such as telecom operators and MVNOs with a platform that learns complex trends and seasonal patterns to predict business performance across KPIs, products, and audience types.",public evidence suggests updating this field,1.00,https://frequency.media/sca-invests-in-frequency,https://www.prnewswire.com/news-releases/lifecycle-launches-nexus-iq-at-mwc-telco-native-ai-turning-event-data-into-revenue-journeys-302701279.html,Review before applying to live Supabase.,update_field
dc7e840a-b6b8-426f-a00e-57ef5fda3eeb,SourseAI,verified,founders,,Tanya Hyams-Young,public evidence suggests updating this field,1.00,https://frequency.media/sca-invests-in-frequency,https://www.prnewswire.com/news-releases/lifecycle-launches-nexus-iq-at-mwc-telco-native-ai-turning-event-data-into-revenue-journeys-302701279.html,Review before applying to live Supabase.,update_field
69577313-6c02-4d76-82f5-80e5887bd887,Spaceship,verified,summary,Mobile-first investment and superannuation platform; AI-driven portfolio construction and member engagement.,"Spaceship is an Australian investing platform offering investment and superannuation accounts, making it easy for everyday Australians to invest in their future through Spaceship Voyager, Spaceship Super, and US investing products.",public evidence suggests updating this field,1.00,https://www.spaceship.com.au,https://www.investordaily.com.au/spaceship-cofounder-to-depart-new-boss-confirmed,Review before applying to live Supabase.,update_field
69577313-6c02-4d76-82f5-80e5887bd887,Spaceship,verified,founders,,Paul Bennetts,public evidence suggests updating this field,1.00,https://www.spaceship.com.au,https://www.investordaily.com.au/spaceship-cofounder-to-depart-new-boss-confirmed,Review before applying to live Supabase.,update_field
8b5c4904-f2ae-45b0-9f2d-c366442dbc0c,Syenta,auto_discovered_pending_review,profile,,,no public-source difference detected,0.00,,,Keep row unchanged unless manual review finds an issue.,no_change
ddb8da5f-f07c-4664-99c8-c3084b2aab18,Tracksuit,verified,summary,Always-on brand tracking platform; AI-driven survey panel analysis and benchmarking for marketers.,"Tracksuit is a brand-tracking platform for marketers, providing always-on brand measurement and AI-powered insights to help companies track and grow their brand.",public evidence suggests updating this field,1.00,https://gotracksuit.com,https://www.gotracksuit.com/us/about,Review before applying to live Supabase.,update_field
