row_type,reviewed_action,company_name,country,announced_on,date_precision,stage,founded_year,amount_usd,currency_raw,lead_investor,investors,report_title,report_url,pdf_url,page_number,confidence,notes
funding_event,needs_review,Lorikeet,AU,2025-09-30,quarter,series_a,,,$54M,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.92,"Listed in largest deals table as AI/Big Data, Series A. Bare $ used - no explicit AUD/USD marker."
funding_event,needs_review,Brainfish,AU,2025-09-30,quarter,series_a,,,$10M,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.9,Listed as 'Pre-Series A' in the table; mapped to series_a as closest available stage. Bare $ - no explicit currency.
funding_event,needs_review,Firmus Technologies,AU,2025-09-30,quarter,,,,$330M,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.92,Stage listed as Unknown. Described as Australia's newest unicorn and explicitly noted as 'from within the AI stack' / AI infrastructure. Bare $ - no explicit currency.
funding_event,needs_review,Andromeda Robotics,AU,2025-09-30,quarter,series_a,,,$23M,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.85,Robotics company; AI relevance flagged for manual review. Cover page also references 'Andromeda - Announced a Series A round in Q3 2025'. Bare $ - no explicit currency.
funding_event,needs_review,Optain (Previously Eyetelligence),AU,2025-09-30,quarter,series_a,,,$26M,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.8,Previously known as Eyetelligence - name implies AI/computer-vision eye diagnostics; flagged for manual review. Bare $ - no explicit currency.
company_candidate,needs_review,Lorikeet,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.92,Listed in largest deals table. AI-first company.
company_candidate,needs_review,Brainfish,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.9,Listed as Pre-Series A in report.
company_candidate,needs_review,Firmus Technologies,AU,,,mature,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.92,Stage in table listed as Unknown; classified mature given unicorn status. Explicit AI-stack reference.
company_candidate,needs_review,Andromeda Robotics,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.85,AI relevance requires manual review - robotics may incorporate AI/ML.
company_candidate,needs_review,Optain,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,20,0.8,Former name 'Eyetelligence' strongly implies AI/computer-vision diagnostics; AI relevance flagged for manual review.
company_candidate,needs_review,TrueState,AU,,,seed,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,26,0.85,Listed as AI Partner/supporter of the report. No funding round disclosed; included as company candidate for AI Sector Watch. Stage is an estimate only - not stated in report.
company_candidate,needs_review,Cuttable,AU,,,seed,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,5,0.6,Mentioned as a sidebar callout only. Sector and AI relevance unknown; flagged for manual review.
company_candidate,needs_review,Elita,AU,,,pre_seed,,,,,,Cut Through Quarterly 3Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2025,https://drive.google.com/file/d/19699C7qFeLOKmG-ToDMD6SEAstCabylL/view,13,0.6,Mentioned as a sidebar callout only. Sector and AI relevance unknown; flagged for manual review.
