row_type,reviewed_action,company_name,country,announced_on,date_precision,stage,founded_year,amount_usd,currency_raw,lead_investor,investors,report_title,report_url,pdf_url,page_number,confidence,notes
funding_event,needs_review,Lorikeet,AU,2025-03-31,quarter,series_a,,,$14M,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,23,0.95,Listed in largest deals table under AI / Big Data sector.
funding_event,needs_review,Springboards AI,AU,2025-03-31,quarter,seed,,,$5M,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,23,0.95,Listed in largest deals table under AI / Big Data sector.
funding_event,needs_review,Harrison.ai,AU,2025-03-31,quarter,series_b_plus,,112000000,US$112m,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,9,0.95,Explicitly stated as Series C and US$112m. Amount in USD confirmed by 'US$112m' text. Stage mapped to series_b_plus as Series C.
funding_event,needs_review,Phnxx,AU,2025-03-31,quarter,seed,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,1,0.6,Shown as AI Partner in the report header/cover. No amount disclosed. AI relevance inferred from context as AI Partner designation; needs manual review.
funding_event,needs_review,TrueState,AU,2025-03-31,unknown,,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,28,0.4,Described as AI Partner / supporter of the report. No funding event disclosed in available text. Included as company candidate; no funding row populated.
company_candidate,needs_review,Lorikeet,AU,,,series_a,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,23,0.95,Listed in largest deals table. Sector: AI / Big Data.
company_candidate,needs_review,Springboards AI,AU,,,seed,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,23,0.95,Listed in largest deals table. Sector: AI / Big Data.
company_candidate,needs_review,Harrison.ai,AU,,,series_b_plus,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,9,0.95,Explicitly named as clinical AI. Series C = series_b_plus.
company_candidate,needs_review,Phnxx,AU,,,seed,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,1,0.6,AI Partner designation in report cover. No amount or sector detail disclosed; AI relevance needs manual review.
company_candidate,needs_review,TrueState,AU,,,,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,28,0.85,Explicitly described as AI-first. Founding team background stated (ex-McKinsey and CSIRO). No funding event or amount disclosed in available text.
company_candidate,needs_review,Ovum,AU,,,pre_seed,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,5,0.5,No sector or amount disclosed. AI relevance unknown; included for manual review.
company_candidate,needs_review,Breaker,AU,,,pre_seed,,,,,,Cut Through Quarterly 1Q 2025,https://www.cutthrough.com/insights/cut-through-quarterly-1q-2025,https://drive.google.com/file/d/1Bp4owdfmRWz2is_h_1fm5S9Mh0io-WHf/view,14,0.5,No sector or amount disclosed. AI relevance unknown; included for manual review.
