row_type,reviewed_action,company_name,country,announced_on,date_precision,stage,founded_year,amount_usd,currency_raw,lead_investor,investors,report_title,report_url,pdf_url,page_number,confidence,notes
funding_event,needs_review,Redactive AI,AU,2024-09-30,quarter,seed,,,$12M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.95,Explicitly listed in 30 Largest Deals of Q3 2024 table. Also mentioned on p.15 as a notable large Seed deal widening average/median gap.
funding_event,needs_review,Kismet,AU,2024-09-30,quarter,seed,,,$32.5M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,15,0.9,Topped-up Seed round of $32.5M - fifth-largest Seed round on record per report. Sector not specified; included for manual AI-relevance review.
funding_event,needs_review,Apromore,AU,2024-09-30,quarter,series_b_plus,,,$23M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.85,Series B; Enterprise/Business Software. Apromore is a process mining/AI platform - included for manual AI-relevance review.
funding_event,needs_review,Lombard,AU,2024-09-30,quarter,seed,,,$16M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.85,Seed; Blockchain/Crypto/Web3. Also mentioned on p.15 as a notable large Seed deal. Included for manual AI-relevance review.
funding_event,needs_review,Rich Data Corporation,AU,2024-09-30,quarter,series_b_plus,,,$9M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.9,Series B; Fintech. Rich Data Corporation is a known AI-driven credit decisioning platform.
funding_event,needs_review,Tactiq,AU,2024-09-30,quarter,series_a,,,$11M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.9,Series A; AI-powered meeting transcription/notes tool. Vanta supporter page also references Tactiq as a customer.
funding_event,needs_review,InvestorHub,AU,2024-09-30,quarter,series_a,,,$9M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.8,Series A; Fintech. Included for manual AI-relevance review - investor relations platform may use AI features.
funding_event,needs_review,Hapana,AU,2024-09-30,quarter,series_a,,,$17M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.8,Series A; Enterprise/Business Software. Included for manual AI-relevance review.
funding_event,needs_review,JigSpace,AU,2024-09-30,quarter,series_b_plus,,,$13M,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.8,Series B; AR/3D presentation platform. Included for manual AI-relevance review.
company_candidate,needs_review,Redactive AI,AU,,,seed,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.95,AI-first company explicitly in the AI/Big Data sector. Seed round large enough to widen average/median deal size gap.
company_candidate,needs_review,Kismet,AU,,,seed,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,15,0.85,Sector not specified in report. Needs manual review to determine AI relevance.
company_candidate,needs_review,Rich Data Corporation,AU,,,series_b_plus,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.9,AI-enabled lending/credit risk platform; classified under Fintech in report but AI-first by nature.
company_candidate,needs_review,Tactiq,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.9,AI-first product; also referenced as a Vanta customer in the supporter pages.
company_candidate,needs_review,Apromore,AU,,,series_b_plus,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.85,Process intelligence / AI-enabled platform. Sector listed as Enterprise/Biz Software; AI relevance should be confirmed.
company_candidate,needs_review,Hapana,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.75,Fitness/wellness platform software; AI relevance needs manual review.
company_candidate,needs_review,InvestorHub,AU,,,series_a,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.75,Investor relations/engagement platform; may use AI features. Needs manual AI-relevance review.
company_candidate,needs_review,JigSpace,AU,,,series_b_plus,,,,,,Cut Through Quarterly 3Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-3q-2024,https://drive.google.com/file/d/1-e8dCR2GQocg_IVa9qA2wcBD3gfV8up1/view,22,0.75,Spatial computing/AR platform; AI relevance needs manual review.
