row_type,reviewed_action,company_name,country,announced_on,date_precision,stage,founded_year,amount_usd,currency_raw,lead_investor,investors,report_title,report_url,pdf_url,page_number,confidence,notes
funding_event,needs_review,V2 Digital,AU,2024-06-30,quarter,series_a,,,$30M,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.0,Listed in top 30 deals table under AI / Big Data sector. Currency is bare $ - not converted.
funding_event,needs_review,Affinda,AU,2024-06-30,quarter,series_a,,,$10M,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.0,Listed in top 30 deals table under AI / Big Data sector. Currency is bare $ - not converted.
funding_event,needs_review,Diversity Atlas,AU,2024-06-30,quarter,series_a,,,$6M,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.0,Listed in top 30 deals table under AI / Big Data sector. Currency is bare $ - not converted.
funding_event,needs_review,Data Zoo,AU,2024-06-30,quarter,series_a,,,$35M,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.0,Cyber/Data Privacy sector - included for manual AI review; may have AI-enabled data verification capabilities.
funding_event,needs_review,Atticus,AU,2024-06-30,quarter,series_a,,,$11M,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.0,Legaltech - included for manual AI review; AI-enabled contract/legal analysis tools common in this space.
funding_event,needs_review,Nexl,AU,2024-06-30,quarter,series_a,,,$7M,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.0,Legaltech - included for manual AI review; AI-enabled legal tools common in this space.
company_candidate,needs_review,V2 Digital,AU,,,series_a,,,,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.9,Explicitly categorised as AI / Big Data in the Cut Through sector taxonomy.
company_candidate,needs_review,Affinda,AU,,,series_a,,,,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.9,Explicitly categorised as AI / Big Data in the Cut Through sector taxonomy.
company_candidate,needs_review,Diversity Atlas,AU,,,series_a,,,,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.85,Explicitly categorised as AI / Big Data in the Cut Through sector taxonomy.
company_candidate,needs_review,Data Zoo,AU,,,series_a,,,,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.7,Not explicitly AI-first; included for manual AI relevance review.
company_candidate,needs_review,Atticus,AU,,,series_a,,,,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.65,Not explicitly labelled AI-first in the report; included for manual AI relevance review.
company_candidate,needs_review,Nexl,AU,,,series_a,,,,,,Cut Through Quarterly 2Q 2024,https://www.cutthrough.com/insights/cut-through-quarterly-2q-2024,https://drive.google.com/file/d/1V_iXJJF5GwvVNyoC1MBh-smLd1da98QT/view,22,0.6,Not explicitly labelled AI-first in the report; included for manual AI relevance review.
