row_id,name,current_status,field,current_value,recommended_value,finding,confidence,official_evidence_url,independent_evidence_url,notes,recommended_action
0a4705ec-ee32-4bb0-acf9-7ec29d0525c7,Advanced Navigation,verified,summary,"Inertial navigation, AI-based positioning, and underwater robotics for autonomous vehicles and defence applications.","Advanced Navigation is a global leader in navigation and autonomous systems, delivering field-proven inertial navigation systems and alternative PNT solutions for denied, degraded, and disrupted environments across defense, mining, subsea, and more.",public evidence suggests updating this field,1.00,https://www.advancednavigation.com,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,Review before applying to live Supabase.,update_field
0a4705ec-ee32-4bb0-acf9-7ec29d0525c7,Advanced Navigation,verified,founders,,Chris Shaw,public evidence suggests updating this field,1.00,https://www.advancednavigation.com,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,Review before applying to live Supabase.,update_field
0a4705ec-ee32-4bb0-acf9-7ec29d0525c7,Advanced Navigation,verified,total_raised_usd,,110000000,public evidence suggests updating this field,1.00,https://www.advancednavigation.com,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,Review before applying to live Supabase.,update_field
0a4705ec-ee32-4bb0-acf9-7ec29d0525c7,Advanced Navigation,verified,total_raised_currency_raw,,US$110M,public evidence suggests updating this field,1.00,https://www.advancednavigation.com,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,Review before applying to live Supabase.,update_field
0a4705ec-ee32-4bb0-acf9-7ec29d0525c7,Advanced Navigation,verified,total_raised_as_of,,2026-03-18,public evidence suggests updating this field,1.00,https://www.advancednavigation.com,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,Review before applying to live Supabase.,update_field
0a4705ec-ee32-4bb0-acf9-7ec29d0525c7,Advanced Navigation,verified,total_raised_source_url,,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,public evidence suggests updating this field,1.00,https://www.advancednavigation.com,https://www.advancednavigation.com/news/advanced-navigation-secures-us110m-series-c-to-catalyze-the-next-era-of-autonomous-systems,Review before applying to live Supabase.,update_field
c4f95a6d-c130-4183-a21f-78a20323529d,Algenie,verified,summary,"AI co-pilot for accountants and bookkeepers, automating compliance and advisory workflows.","Algenie is an Australian algae biotechnology company pioneering cost-effective algae production technology, including a patented photobioreactor design and AI-driven strain optimisation, to convert CO2 into valuable raw materials for industries such as plastics, food, and biofuels - replacing fossil fuels and enabling gigatonne-scale carbon drawdown.",public evidence suggests updating this field,1.00,https://algenie.com,https://events.humanitix.com/chats-for-the-goals-algenie,Review before applying to live Supabase.,update_field
c4f95a6d-c130-4183-a21f-78a20323529d,Algenie,verified,founders,,Nick Hazell,public evidence suggests updating this field,1.00,https://algenie.com,https://events.humanitix.com/chats-for-the-goals-algenie,Review before applying to live Supabase.,update_field
c4f95a6d-c130-4183-a21f-78a20323529d,Algenie,verified,total_raised_usd,,1100000,public evidence suggests updating this field,1.00,https://algenie.com,https://events.humanitix.com/chats-for-the-goals-algenie,Review before applying to live Supabase.,update_field
c4f95a6d-c130-4183-a21f-78a20323529d,Algenie,verified,total_raised_currency_raw,,$1.1M,public evidence suggests updating this field,1.00,https://algenie.com,https://events.humanitix.com/chats-for-the-goals-algenie,Review before applying to live Supabase.,update_field
